YearEnd,COUNT(LocationDesc),LocationDesc,Question,AVG(DataValue),StratificationCategory1,Stratification1
2015,2,Alabama,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,24.05,Race/Ethnicity,African American
2015,2,Alabama,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,23.65,Gender,Female
2015,2,Alabama,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,25.2,Race/Ethnicity,Hispanic
2015,2,Alabama,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,28.55,Gender,Male
2015,2,Alabama,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,37.25,Race/Ethnicity,Multiracial
2015,2,Alabama,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,23.45,Race/Ethnicity,Other
2015,2,Alabama,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,25.95,Overall,Overall
2015,2,Alabama,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,26.4,Race/Ethnicity,Caucasian
2015,2,Alaska,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,0,Race/Ethnicity,African American
2015,2,Alaska,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,35.6,Gender,Female
2015,2,Alaska,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,45.6,Race/Ethnicity,Hispanic
2015,2,Alaska,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,38.1,Gender,Male
2015,2,Alaska,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,43.5,Race/Ethnicity,Multiracial
2015,2,Alaska,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34.55,Race/Ethnicity,Other
2015,2,Alaska,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,36.95,Overall,Overall
2015,2,Alaska,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,36.5,Race/Ethnicity,Caucasian
2015,2,Arizona,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,27.55,Race/Ethnicity,African American
2015,2,Arizona,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,31.95,Gender,Female
2015,2,Arizona,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,26.35,Race/Ethnicity,Hispanic
2015,2,Arizona,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34.2,Gender,Male
2015,2,Arizona,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,44.25,Race/Ethnicity,Multiracial
2015,2,Arizona,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,31.75,Race/Ethnicity,Other
2015,2,Arizona,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,33,Overall,Overall
2015,2,Arizona,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,35.75,Race/Ethnicity,Caucasian
2015,2,Arkansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,19.8,Race/Ethnicity,African American
