YearEnd,LocationDesc,Topic,Question,DataValue,StratificationCategory1,Stratification1,GeoLocation
2013,Alabama,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,39.8,Overall,Overall,"(32.84057112200048, -86.63186076199969)"
2013,Alaska,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,33.5,Overall,Overall,"(64.84507995700051, -147.72205903599973)"
2013,Arizona,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,36.9,Overall,Overall,"(34.865970280000454, -111.76381127699972)"
2013,Arkansas,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,29.3,Overall,Overall,"(34.74865012400045, -92.27449074299966)"
2013,California,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,0,Overall,Overall,"(37.63864012300047, -120.99999953799971)"
2013,Colorado,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,0,Overall,Overall,"(38.843840757000464, -106.13361092099967)"
2013,Connecticut,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,36.7,Overall,Overall,"(41.56266102000046, -72.64984095199964)"
2013,Delaware,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,39.8,Overall,Overall,"(39.008830667000495, -75.57774116799965)"
2013,District of Columbia,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,40.4,Overall,Overall,"(38.907192, -77.036871)"
2013,Florida,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,40.9,Overall,Overall,"(28.932040377000476, -81.92896053899966)"
2013,Georgia,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,35.5,Overall,Overall,"(32.83968109300048, -83.62758034599966)"
2013,Guam,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,44,Overall,Overall,"(13.444304, 144.793731)"
2013,Hawaii,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,42.1,Overall,Overall,"(21.304850435000446, -157.85774940299973)"
2013,Idaho,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,27.7,Overall,Overall,"(43.682630005000476, -114.3637300419997)"
2013,Illinois,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,36.7,Overall,Overall,"(40.48501028300046, -88.99771017799969)"
2013,Indiana,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,0,Overall,Overall,"(39.766910452000445, -86.14996019399968)"
2013,Iowa,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,0,Overall,Overall,"(42.46940091300047, -93.81649055599968)"
2013,Kansas,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,33.8,Overall,Overall,"(38.34774030000045, -98.20078122699965)"
2013,Kentucky,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,34.5,Overall,Overall,"(37.645970271000465, -84.77497104799966)"
2013,Louisiana,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,30.9,Overall,Overall,"(31.31266064400046, -92.44568007099969)"
2013,Maine,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,36.8,Overall,Overall,"(45.254228894000505, -68.98503133599962)"
2013,Maryland,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,36.3,Overall,Overall,"(39.29058096400047, -76.60926011099963)"
2013,Massachusetts,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,38.8,Overall,Overall,"(42.27687047000046, -72.08269067499964)"
2013,Michigan,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,34.1,Overall,Overall,"(44.6613195430005, -84.71439026999968)"
2013,Minnesota,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,0,Overall,Overall,"(46.35564873600049, -94.79420050299967)"
2013,Mississippi,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,46.2,Overall,Overall,"(32.745510099000455, -89.53803082499968)"
2013,Missouri,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,32.7,Overall,Overall,"(38.635790776000476, -92.56630005299968)"
2013,Montana,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,29.7,Overall,Overall,"(47.06652897200047, -109.42442064499971)"
2013,Nebraska,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,28.1,Overall,Overall,"(41.6410409880005, -99.36572062299967)"
2013,Nevada,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,38,Overall,Overall,"(39.493240390000494, -117.07184056399967)"
2013,New Hampshire,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,0,Overall,Overall,"(43.65595011300047, -71.50036091999965)"
2013,New Jersey,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,36.6,Overall,Overall,"(40.13057004800049, -74.27369128799967)"
2013,New Mexico,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,35.3,Overall,Overall,"(34.52088095200048, -106.24058098499967)"
2013,New York,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,39.5,Overall,Overall,"(42.82700103200045, -75.54397042699964)"
2013,North Carolina,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,42.4,Overall,Overall,"(35.466220975000454, -79.15925046299964)"
2013,North Dakota,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,34.4,Overall,Overall,"(47.47531977900047, -100.11842104899966)"
2013,Ohio,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,37.3,Overall,Overall,"(40.06021014100048, -82.40426005599966)"
2013,Oklahoma,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,43,Overall,Overall,"(35.47203135600046, -97.52107021399968)"
2013,Oregon,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,0,Overall,Overall,"(44.56744942400047, -120.15503132599969)"
2013,Pennsylvania,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,0,Overall,Overall,"(40.79373015200048, -77.86070029399963)"
2013,Puerto Rico,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,38.4,Overall,Overall,"(18.220833, -66.590149)"
2013,Rhode Island,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,38.5,Overall,Overall,"(41.70828019300046, -71.52247031399963)"
2013,South Carolina,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,37.7,Overall,Overall,"(33.998821303000454, -81.04537120699968)"
2013,South Dakota,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,33.2,Overall,Overall,"(44.353130053000484, -100.3735306369997)"
2013,Tennessee,"Nutrition, Physical Activity, and Weight Status",Computer use among high school students,36.2,Overall,Overall,"(35.68094058000048, -85.77449091399967)"
